whiskey_id,category_id,Name,Score,Price_USD,Sale_volume,Percent_ABV
0,0,"Spirit Hound Single Barrel Straight Malt (Barrel 66), 45%",88,55.0,750,45.0
1,0,"Dogfish Head Straight Malt, 40%",87,40.0,750,40.0
2,0,"Balcones Texas Bock Straight Malt Whiskey, 50%",87,40.0,750,50.0
3,0,"Woodford Reserve Straight Malt Whiskey, 45.2%",86,35.0,750,45.2
4,0,"Spirit Hound Colorado Honey Malt (Barrel No. 4), 45%",85,65.0,750,45.0
5,0,"Parker’s Heritage Collection Kentucky Straight Malt Whiskey 8 year old, 54%",84,100.0,750,54.0
6,0,"Woodford Reserve Master’s Collection Straight Malt, 45.2%",83,100.0,750,45.2
7,0,"Woodford Reserve Master’s Collection Classic Malt, 45.2%",82,100.0,750,45.2
8,1,"Little Book Chapter 4: Lessons Honored (2020 Release), 61.4%",94,125.0,750,61.4
9,1,"Barrell Private Release Tokaji Cask-Finished Kentucky Whiskey (Batch No. AH02), 60.71%",94,109.0,750,60.71
10,1,"Barrell Private Release Ruby Port Cask-Finished Kentucky Whiskey (Batch No. AH10), 60.26%",94,109.0,750,60.26
11,1,"Barrell Private Release Malmsey Madeira Cask-Finished Kentucky Whiskey (Batch No. AH08), 59.45%",94,109.0,750,59.45
12,1,"Barrell 25 year old Cask-Strength American Whiskey, 55.6%",93,250.0,750,55.6
13,1,"Jacob’s Pardon 15 year old Single Barrel American Whiskey (No. 23), 70.9%",93,200.0,750,70.9
14,1,"Barrell Private Release Hermann J. Wiemer Noble Select Josef Vineyard Riesling Barrel-Finished Kentucky Whiskey (Blend No. CH37), 57.11%",92,110.0,750,57.11
15,1,"Barrell Private Release St. Agrestis Brooklyn Amaro Cask-Finished Kentucky Whiskey (Blend No. CH24), 56.95%",92,110.0,750,56.95
16,1,"Jacob's Pardon 15 year old Single Barrel American Whiskey (No. 37), 69.75%",92,200.0,750,69.75
